id,Title,Resource Type,Sort Order,Show Order Button,Show Download Button,Download File,Image Featured,WPML Translation ID,WPML Language Code,,,,,,,,,
,Lignes directrices en soins primaires,HP Resource,2,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/09/SCE_Guide-pratique-sur-la-prise-en-charge-de-la-dermatite-atopique-HCP-Guideline-2020-PUBLISHED.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/07/Lingnes-directrics-en-soins-primaires-2020.png,289,fr,,,,,,,,,
,Written Eczema Care Plan - Printable and Fillable Form,HP Resource,2,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/09/ESC-Written-Eczema-Care-Plan_Printable-and-Fillable-Form_2020.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/12/ESC-Written-Eczema-Care-Plan-Printable-and-Fillable-Form.png,289,en,,,,,,,,,
,Plan écrit de traitement de l’eczéma - À remplir,HP Resource,3,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/09/SCE_Plan-écrit-de-traitement-de-l’eczéma-À-remplir_2020.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/12/Plan-écrit-de-traitement-de-l’eczéma-–-À-remplir-2020.png,290,fr,,,,,,,,,
,Written Eczema Care Plan - Label,HP Resource,3,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/09/ESC-Written-Eczema-Care-Plan_Label_2020.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/12/ESC-Written-Care-Plan-Label.png,290,en,,,,,,,,,
,Managing Eczema Guide,Patient Resource,,1,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/ESC_Managing-Eczema-Guide_2020.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/ESC-Managing-Eczema-Guide-Cover.jpg,251,en,,,,,,,,,2
,Guide « Maîtriser l’eczéma »,Patient Resource,,1,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/SCE_Guide-Maitriser-leczema_2020.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/ESC-Maitriser-leczema-brochure-2017-Cover.jpg,251,fr,,,,,,,,,2
,Ask the Doctor About... Biologic Drugs for Atopic Dermatitis,Patient Resource,,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/ESC_Ask-the-Doctor_Biologics_2018.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/08/Ask-Biologics-Cover-2020.png,261,en,,,,,,,,,0
,Ask the Doctor About... Hand Eczema,Patient Resource,,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/ESC_Ask-the-Doctor_Hand_2018.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/08/Ask-Hand-Cover-2020.png,262,en,,,,,,,,,1
,Eczema Skin Care Made Simple,Patient Resource,,0,1,https://eczemahelp.ca/wp-content/uploads/2019/02/ESC_Eczema-Skin-Care-Made-Simple_May-2018.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/08/eczema-skin-care-made-simple@2x.jpg,264,en,,,,,,,,,1
,Un médecin vous parle… des médicaments biologiques,Patient Resource,,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/SCE_Un-medecin-vous-parle-des-medicaments-biologiques_2018.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/08/Ask-Biologics-FR-Cover-2020.png,261,fr,,,,,,,,,3
,Un médecin vous parle… de l’eczéma des mains,Patient Resource,,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/SCE_Un-medecin-vous-parle-l-eczema-des-mains_2018.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/08/Ask-Hand-FR-Cover-2020.png,262,fr,,,,,,,,,4
,Soins de l’eczéma simplifiés,Patient Resource,,0,1,https://eczemahelp.ca/wp-content/uploads/2019/02/SCE_Soin-de-lecz%C3%A9ma-simplifi%C3%A9s_May-2018.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/09/fr-eczema-skin-care-made-simple.jpg,264,fr,,,,,,,,,2
,Ask the Doctor About... Phototherapy,Patient Resource,,0,1,https://guidelines.eczemahelp.ca/wp-content/uploads/2020/12/ESC_Ask-the-Doctor_Phototherapy_2020.pdf,https://guidelines.eczemahelp.ca/wp-content/uploads/2019/08/Ask-Phototherapy-Cover-2020.png,,en,,,,,,,,,7
